"","belongs_to_collection","budget","original_language","production_companies","revenue","runtime","famous_count","Drama","Action","Romance","Adventure","Crime","Science.Fiction","Horror","Family","Fantasy","Animation","History","Documentary","Western","Foreign"
"173","TRUE",7e+07,"English","Smaller company",171183863,101,4,"0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"174","FALSE",7e+06,"English","Sony Pictures Entertainment",49084830,114,6,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"175","FALSE",8e+06,"English","Paramount Global",529766,116,7,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"176","FALSE",2500000,"English","The Walt Disney Studios",26781723,102,6,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"177","TRUE",4.9e+07,"English","Sony Pictures Entertainment",352927224,127,8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"178","FALSE",7500000,"English","Smaller company",145793296,99,2,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"179","FALSE",2.7e+07,"English","Paramount Global",231976425,162,6,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"180","TRUE",1.8e+08,"English","The Walt Disney Studios",748806957,143,8,"0","0","0","1","0","0","0","1","1","0","0","0","0","0"
"181","TRUE",1e+08,"English","Warner Bros. Entertainment",336529144,121,9,"0","1","0","0","1","0","0","0","1","0","0","0","0","0"
"182","TRUE",1.25e+08,"English","NBCUniversal",238207122,125,7,"0","1","0","0","1","0","0","0","1","0","0","0","0","0"
"183","FALSE",5e+07,"English","The Walt Disney Studios",34808403,119,8,"1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"184","FALSE",3.5e+07,"English","Smaller company",120072577,150,2,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"185","FALSE",2.2e+07,"English","NBCUniversal",321365567,195,5,"1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"186","TRUE",5.9e+07,"English","The Walt Disney Studios",383257136,81,7,"0","0","0","1","0","0","0","1","0","1","0","0","0","0"
"187","TRUE",250000,"English","Smaller company",501818,90,1,"0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"188","FALSE",1.25e+08,"English","Smaller company",544272402,124,7,"0","1","0","1","0","1","0","0","0","0","0","0","0","0"
"189","TRUE",4e+07,"English","The Walt Disney Studios",41797066,94,2,"0","1","0","0","0","1","1","0","1","0","0","0","0","0"
"190","FALSE",6e+06,"English","Warner Bros. Entertainment",705308,96,5,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"191","FALSE",2224000,"Europe","Smaller company",2.8e+07,100,0,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"192","FALSE",3600000,"English","Smaller company",49800000,112,5,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"193","TRUE",2500000,"Europe","Smaller company",7235,117,0,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"194","FALSE",6e+07,"English","Smaller company",313542341,135,8,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"195","FALSE",14500000,"English","Smaller company",147298761,120,11,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"196","FALSE",3500159,"English","The Walt Disney Studios",76578641,112,3,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"197","FALSE",5.2e+07,"English","Smaller company",256271286,131,4,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"198","FALSE",2e+07,"English","Smaller company",60427839,124,10,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"199","FALSE",60000,"English","Smaller company",3221152,84,1,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200","FALSE",2500000,"English","Smaller company",4729352,100,4,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"201","TRUE",4.6e+07,"English","Paramount Global",107196498,99,6,"0","1","0","1","1","0","0","0","0","0","0","0","0","0"
"202","FALSE",9500000,"English","Smaller company",14560247,124,8,"0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"203","FALSE",1e+07,"English","Paramount Global",225933435,126,7,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"204","FALSE",1.3e+07,"English","Smaller company",22863596,112,13,"1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"205","FALSE",1.8e+07,"English","The Walt Disney Studios",261572744,82,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"206","FALSE",6e+07,"English","Warner Bros. Entertainment",284600000,189,14,"1","0","0","0","1","0","0","0","1","0","0","0","0","0"
"207","FALSE",1200000,"English","Smaller company",14661007,99,6,"0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"208","FALSE",1.6e+08,"English","Smaller company",181674817,99,5,"1","1","0","1","0","0","0","0","0","0","0","0","0","0"
"209","FALSE",8e+06,"English","Smaller company",60378584,110,5,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"210","FALSE",2e+07,"English","Smaller company",7237794,94,6,"1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"211","FALSE",1500000,"English","Smaller company",418961,96,1,"1","1","0","0","1","0","0","0","0","0","0","0","0","0"
"212","FALSE",4e+07,"English","NBCUniversal",244931766,135,16,"1","0","1","0","0","0","0","0","0","0","0","0","0","0"
