"","id","original_title","belongs_to_collection","budget","original_language","production_companies","revenue","runtime","famous_count"
"2900",27303,"Hideaway",FALSE,1.5e+07,"English","Sony Pictures Entertainment",12201255,103,4
"2901",27323,"Joysticks",FALSE,3e+05,"English","Smaller company",3952448,88,3
"2902",27418,"Next of Kin",FALSE,1.2e+07,"English","Smaller company",15942628,108,7
"2903",27549,"Beastmaster 2: Through the Portal of Time",TRUE,6e+06,"English","Smaller company",869325,107,2
"2904",27569,"Extraordinary Measures",FALSE,3.1e+07,"English","Smaller company",15134293,105,5
"2905",27573,"The Bounty Hunter",FALSE,4e+07,"English","Sony Pictures Entertainment",1.36e+08,110,7
"2906",27576,"Salt",FALSE,1.1e+08,"English","Sony Pictures Entertainment",293329073,100,6
"2907",27578,"The Expendables",TRUE,8e+07,"English","Smaller company",274470394,103,9
"2908",27579,"The American",FALSE,2e+07,"English","Smaller company",65464324,104,1
"2909",27581,"The Other Guys",FALSE,1e+08,"English","Sony Pictures Entertainment",170432927,107,11
"2910",27582,"The Mechanic",TRUE,4e+07,"English","Smaller company",51070807,93,6
"2911",27585,"Rabbit Hole",FALSE,5e+06,"English","Smaller company",5129058,91,6
"2912",27586,"The Runaways",FALSE,1e+07,"English","Smaller company",2995811,106,3
"2913",27791,"Strangeland",FALSE,1100000,"English","Smaller company",631221,86,3
"2914",27873,"Warlords of the 21st Century",FALSE,1e+06,"English","Smaller company",3e+06,91,1
"2915",27936,"Micmacs à tire-larigot",FALSE,3.3e+07,"Europe","Smaller company",1.4e+07,100,0
"2916",27957,"Nefes: Vatan Sağolsun",FALSE,2e+06,"Asia","Smaller company",13500000,128,0
"2917",28005,"Kama Sutra - A Tale of Love",FALSE,3e+06,"English","Smaller company",4109095,117,0
"2918",28032,"Thumbelina",FALSE,2.8e+07,"English","Warner Bros. Entertainment",11373501,87,1
"2919",28053,"City Island",FALSE,6e+06,"English","Smaller company",6670712,104,3
"2920",28089,"The Messenger",FALSE,6500000,"English","Smaller company",1521261,113,4
"2921",28117,"Delirious",FALSE,1.8e+07,"English","Smaller company",5546827,96,4
